objid,u,g,r,i,z,class,redshift
1237662238560682456,19.52433,18.46509,17.97273,17.78144,17.7041,STAR,-3.394257E-05
1237659324421570776,19.4302,19.36613,19.15871,19.1158,19.02403,QSO,1.201464
1237659324958441875,19.23332,18.29,17.99557,17.88532,17.89544,STAR,-0.0003087729
1237655502423720382,19.35382,18.44213,18.15998,18.04985,18.07496,STAR,-0.0002054956
1237659153145331898,17.17955,15.72971,15.00864,14.52955,14.25191,GALAXY,0.05921769
1237655744021987537,19.19147,17.84564,17.17363,16.80208,16.52197,GALAXY,0.08515421
1237651736853414081,19.27072,18.32872,18.05291,17.95005,17.93325,STAR,-0.0001422507
1237648721790304484,19.48657,18.03317,17.18289,16.72705,16.41617,GALAXY,0.1140431
1237662661606637825,19.30569,18.65139,18.49681,18.4317,18.26906,QSO,2.613968
1237655744021922103,19.11919,17.30848,16.34101,15.86392,15.48133,GALAXY,0.08617932
1237662267002126631,19.23085,18.20402,17.84413,17.61601,17.54874,GALAXY,0.03798595
1237662267538997374,17.90608,15.93478,14.94676,14.49573,14.15265,GALAXY,0.08692995
1237662697574498424,19.03429,18.23867,18.24627,18.11169,17.84473,QSO,2.371257
1237661949201350673,18.88455,17.53105,16.94756,16.69834,16.60639,STAR,-7.11604E-05
1237648705135116577,17.80566,16.59223,16.06062,15.75611,15.58005,GALAXY,0.05060415
1237662337330905209,18.86174,17.70424,17.30238,17.14251,17.08874,STAR,-0.0005792758
1237648703524503607,17.96365,16.60777,16.05958,15.82313,15.71697,STAR,1.917834E-05
1237662337867776090,17.38763,16.2925,15.84997,15.66426,15.60117,STAR,-0.0006168082
1237648705671987264,18.78949,17.096,16.37768,16.05238,15.80799,STAR,3.609128E-05
1237648721253367972,18.37806,17.37004,17.03599,16.91456,16.85372,STAR,-0.000580352
1237662664291057932,19.1669,17.14959,16.18647,15.68533,15.29309,GALAXY,0.04776512
1237655503497462324,18.64464,17.38485,16.81771,16.41168,16.22739,GALAXY,0.1304996
1237659324421505288,19.57124,18.69587,18.35531,18.24924,18.18872,STAR,-0.0006186849
1237662664291057726,19.31628,17.72937,17.02857,16.6734,16.47087,GALAXY,0
1237662238560682220,18.62012,16.73984,15.87151,15.45368,15.12025,GALAXY,0.04396486
1237665532258025813,18.45239,17.06051,16.43043,16.04766,15.74223,GALAXY,0.05110619
1237664853117239590,18.46366,17.19122,16.59745,16.30505,16.07887,GALAXY,0.07112945
1237662533821333606,17.82086,16.80741,16.67312,16.67429,16.7056,STAR,-0.0001201048
1237654879670632697,18.48096,17.62423,17.29521,16.99705,16.91243,GALAXY,0.09584649
1237662264324260352,18.91878,17.73299,17.17218,16.85544,16.63649,GALAXY,0.0421254
1237666244670523438,19.16788,17.11875,16.45439,16.0023,15.93145,STAR,-6.130135E-05
1237662663217250465,19.05428,16.99086,15.9885,15.50667,15.13884,GALAXY,0.09035894
1237662267002060939,18.57122,17.71923,17.3602,17.20028,17.14673,STAR,-0.001183418
1237668331496734998,18.87447,16.79255,15.76824,15.30181,14.91407,GALAXY,0.08716296
1237668331496735010,18.87314,17.5077,16.84446,16.43166,16.1555,GALAXY,0.08649039
1237665128027914386,19.08206,17.31098,16.58266,16.30748,16.16719,STAR,-0.0001013194
1237666245744329267,18.73034,17.17068,16.46948,16.23234,16.0669,STAR,-0.0002763815
